code,item,cost,type
16PP-021,Spray painting of RL door 左后车门喷漆,700,door 车门
16PP-022,Spray painting of RR door 右后车门喷漆,700,door 车门
16PP-023,Spray painting of tailgate 后尾门喷漆,700,door 车门
16PP-024,Panel beating to repair the FL fender 左前叶子板钣金修复,800,fender 叶子板
16PP-025,Panel beating to repair the FR fender 右前叶子板钣金修复,800,fender 叶子板
16PP-026,Panel beating to repair the RL fender 左后叶子板钣金修复,800,fender 叶子板
16PP-027,Panel beating to repair the RR fender 右后叶子板钣金修复,800,fender 叶子板
16PP-028,Panel beating to repair the FL fender inside 左前叶子板支架矫正修复,800,fender 叶子板
16PP-029,Panel beating to repair the FR fender inside 右前叶子板支架矫正修复,800,fender 叶子板
16PP-030,Panel beating to repair the RL fender inside 左后叶子板支架矫正修复,800,fender 叶子板
16PP-031,Panel beating to repair the RR fender inside 右后叶子板支架矫正修复,800,fender 叶子板
16PP-032,Spray painting of FL fender 左前叶子板喷漆,700,fender 叶子板
16PP-033,Spray painting of FR fender 右前叶子板喷漆,700,fender 叶子板
16PP-034,Spray painting of RL fender 左后叶子板喷漆,700,fender 叶子板
16PP-035,Spray painting of RR fender 右后叶子板喷漆,700,fender 叶子板
16PP-036,Repair the FL wheel arch 左前轮眉修复,200,wheel arch 轮眉
16PP-037,Repair the FR wheel arch 右前轮眉修复,200,wheel arch 轮眉
16PP-038,Repair the RL wheel arch 左后轮眉修复,200,wheel arch 轮眉
16PP-039,Repair the RR wheel arch 右后轮眉修复,200,wheel arch 轮眉
16PP-040,Spray painting for FL wheel arch 左前轮眉喷漆,200,wheel arch 轮眉
16PP-041,Spray painting for FR wheel arch 右前轮眉喷漆,200,wheel arch 轮眉
16PP-042,Spray painting for RL wheel arch 左后轮眉喷漆,200,wheel arch 轮眉
16PP-043,Spray painting for RR wheel arch 右后轮眉喷漆,200,wheel arch 轮眉
16PP-044,Panel beating to repair the roof 车顶钣金修复,1500,roof 车顶
16PP-045,Spray painting of the roof 车顶喷漆,1000,roof 车顶
16PP-046,Repair of the inner RL body 左后车斗内部钣金修复,1500,rear body 车斗
16PP-047,Repair of the inner RR body 右后车斗内部钣金修复,1500,rear body 车斗
16PP-048,Spray painting of RL body 左后车斗喷漆,700,rear body 车斗
16PP-049,Spray painting of RR body 右后车斗喷漆,700,rear body 车斗
16PP-050,Panel beating to repair the left doorsill 左门槛钣金修复,300,doorsill 门槛
16PP-051,Panel beating to repair the right doorsill 右门槛钣金修复,300,doorsill 门槛
16PP-052,Spray painting of the left doorsill 左门槛喷漆,200,doorsill 门槛
16PP-053,Spray painting of the right doorsill 右门槛喷漆,200,doorsill 门槛
16PP-054,Panel beating to repair the lower coaming 下围板钣金修复,300, coaming 围板
16PP-055,Spray painting of the lower coaming下围板喷漆,200, coaming 围板
16PP-056,Panel beating to repair FL Pillar A 左前A柱修复,1000,Pillar A柱
16PP-057,Panel beating to repair FR Pillar A 右前A柱修复,1000,Pillar A柱
16PP-058,Panel beating to repair FL Pillar B 左前B柱修复,1000,Pillar B柱
16PP-059,Panel beating to repair FR Pillar B 右前B柱修复,1000,Pillar B柱
16PP-060,Spray painting of repair FL Pillar A 左前A柱喷漆,,Pillar A柱
16PP-061,Spray painting of repair FR Pillar A 右前A柱喷漆,,Pillar A柱
16PP-062,Spray painting of repair FL Pillar B 左前B柱喷漆,,Pillar B柱
16PP-063,Spray painting of repair FR Pillar B 右前B柱喷漆,,Pillar B柱
16PP-064,Panel beating to repair the radiator frame 水箱框架钣金修复,1500,radiator frame 水箱框架
16PP-065,Repair the front beam 前防撞梁整形修复,, front beam 前防撞梁
16PP-066,Repair the lower beam of radiator 龙门架整形修复,,龙门架
16PP-067,Spray painting of the lower beam of radiator 龙门架喷漆,,龙门架
16PP-068,Panel beating to repair the FL window frame 左前玻璃框钣金修复,,玻璃框
16PP-069,Replace the lower beam of radiator 更换龙门架,,龙门架
16PP-070,Panel beating to repair the FR window frame 右前玻璃框钣金修复,,玻璃框
16PP-071,Panel beating to repair the RL window frame 左后玻璃框钣金修复,,玻璃框
16PP-072,Panel beating to repair the RR window frame 右后玻璃框钣金修复,,玻璃框
16PP-073,Spray painting of the FL window frame 左前玻璃框喷漆,,玻璃框
16PP-074,Spray painting of the FR window frame 右前玻璃框喷漆,,玻璃框
16PP-075,Spray painting of the RL window frame 左后玻璃框喷漆,,玻璃框
16PP-076,Spray painting of the RR window frame 右后玻璃框喷漆,,玻璃框
16PP-077,Panel beating to repair the Front screen frame 前档玻璃框钣金修复,,
16PP-078,Panel beating to repair the left peddle 左侧踏板钣金修复,,
16PP-079,Panel beating to repair the right peddle 右侧踏板钣金修复,,
16PP-080,Spray painting of the left peddle 左侧踏板喷漆,,
16PP-081,Spray painting of the right peddle 右侧踏板喷漆,,
16PP-082,Replace the girder 更换大梁,,
16PP-083,Replace collision energy absorbing device  更换大梁吸能盒,,
16PP-084,Remove the old surface paint 去除原车自喷漆,,
,焊条，内饰板卡，原子灰、填充剂、底漆、金属漆、清漆、固化剂、油漆稀释剂、油漆过滤器、砂光盘、砂纸、车漆遮蔽膜、分色纸、除尘布、3M美容粗腊/细腊/镜面处理剂等喷漆材料,,
17OT-001,Out rescure (daytime within 10km) 外出救援（白天来回10公里内）,300,
17OT-002,Out rescure (daytime over 10km) 外出救援（白天10公里以上的，超出部分每公里加收10K）,300+10*km,
17OT-003,Out rescure (at night within 10km) 外出救援（夜间来回10公里内）,500,
17OT-004,Out rescure (at night over 10km) 外出救援（夜间10公里以上的，超出部分每公里加收20K）,500+20*km,
17OT-005,Long distance rescue 长途救援,30k/km,
17OT-006,Towing fee 拖车费 (30K每公里),45k/km,
17OT-007,Towing fee (by towing company) 拖车费(参考拖车公司收费标准收取),,
17OT-008,Pick-up service 接送车服务,200,
17OT-009,Top up windshield cleaner 加玻璃水,-,
17OT-010,168 health checking 168项健康检查,-,
17OT-011,Repair auxiliary materials 维修辅材,-,
17OT-012,Top up fuel for test 试车加油,-,
17OT-013,Transport by air 空运费,-,
17OT-014,Transport by sea 海运费,-,
17OT-015,Car ornament 汽车挂饰,-,
17OT-016,Car perfume 汽车香水 ,-,
17OT-017,Music CD 音乐CD,-,
17OT-018,Car MP3 车载MP3,-,
17OT-019,Driver's transportation 司机交通费,-,
17OT-020,Driver''s lunch 司机午餐费,20,
17OT-021,Service fee for purchase assessment 购车服务费,2%,
17OT-022,Take away 外带产品,-,
17OT-023,Do the fitness (annual inspection) 代办年检,350,
17OT-024,Buy the insurance 购买保险,100,
17OT-025,Buy the road tax 购买路税,100,
